Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
12288	12289	-1.09	-2.92	-5.68
12288	8196	-5.23	-6.65	-6.65
12288	14341	-1.11	-1.29	-3.45
12288	14342	0.00	-1.29	-2.78
12288	12295	0.00	-5.33	-5.68
12288	12296	0.00	-5.33	-5.68
12288	14345	-1.49	-1.49	-2.78
12288	12300	-1.49	-5.33	-5.68
12288	18449	0.00	-4.23	-5.64
12288	4119	-1.11	-1.11	-5.10
12288	4120	-1.11	-1.11	-4.10
12288	4121	-3.07	-3.07	-4.10
12288	16730	-1.11	-1.11	-5.03
12288	18467	0.00	-1.29	-4.20
12288	14343	0.00	-1.29	-2.78
12288	2100	0.00	-0.97	-4.60
12288	2101	0.00	-0.97	-4.60
12288	14399	0.00	-1.29	-3.88
12288	14400	0.00	-1.29	-4.45
12288	14401	0.00	-1.29	-4.55
12288	14402	0.00	-1.29	-4.55
12288	14403	-1.11	-1.29	-4.55
12288	14404	-1.11	-1.29	-4.55
12288	14405	0.00	-1.29	-4.55
12288	14407	-1.11	-1.29	-5.25
12288	14408	-1.11	-1.29	-4.77
12288	14409	-1.49	-1.49	-4.77
12288	14412	-1.25	-1.25	-4.77
12288	14413	0.00	-1.29	-4.77
12288	14414	0.00	-1.29	-4.77
12288	14419	0.00	-1.29	-4.77
12288	14420	0.00	-1.29	-4.77
12288	14422	0.00	-1.29	-4.77
12288	12824	0.00	-0.97	-3.98
12288	111	0.00	-4.23	-6.75
12288	112	0.00	-4.23	-5.64
12288	116	0.00	-4.23	-4.77
12288	12405	0.00	-4.75	-5.26
12288	119	0.00	-4.23	-4.77
12288	122	-1.49	-4.23	-4.77
12288	123	-3.44	-4.23	-4.77
12288	3434	-1.11	-1.11	-3.65
12288	126	-1.49	-4.23	-4.77
12288	127	-1.49	-4.23	-4.77
12288	129	-3.33	-4.23	-4.77
12288	4232	-1.95	-4.23	-6.02
12288	13341	-1.11	-2.02	-5.68
12288	14736	-1.25	-1.25	-5.23
12288	16577	-1.49	-1.49	-5.82
12288	2250	-1.49	-3.27	-4.24
12288	2251	-3.44	-3.44	-4.24
12288	15399	0.00	-3.73	-3.89
12288	2310	-1.49	-2.92	-4.81
12288	2311	-1.49	-2.92	-3.88
12288	18967	0.00	-1.43	-3.55
12288	13357	-1.11	-6.99	-6.99
12288	2321	-1.49	-3.86	-3.86
12288	2324	0.00	-3.86	-3.86
12288	2325	0.00	-3.86	-3.86
12288	310	0.00	0.00	-7.85
12288	311	0.00	0.00	-7.85
12288	312	0.00	0.00	-7.85
12288	315	0.00	0.00	-7.85
12288	316	0.00	0.00	-7.85
12288	14682	-1.25	-2.92	-3.85
12288	16731	0.00	-0.91	-6.10
12288	16732	0.00	-0.91	-7.01
12288	16733	0.00	-0.91	-7.01
12288	16734	0.00	-0.91	-7.01
12288	14687	-3.07	-3.07	-5.64
12288	4448	-1.49	-2.47	-4.32
12288	4449	-1.49	-2.47	-4.32
12288	4451	0.00	-2.04	-4.32
12288	2422	0.00	-2.59	-4.04
12288	2423	0.00	-2.59	-4.04
12288	3354	-1.49	-1.49	-4.61
12288	384	0.00	-0.91	-8.22
12288	387	-1.25	-1.25	-6.34
12288	8580	0.00	-0.91	-4.74
12288	8581	-1.49	-1.49	-4.74
12288	8582	-1.49	-1.49	-4.74
12288	8583	-1.49	-1.49	-4.74
12288	16780	-1.49	-2.92	-3.55
12288	16783	0.00	-2.92	-4.08
12288	400	-3.44	-3.44	-3.85
12288	4497	0.00	-0.91	-6.75
12288	404	0.00	-4.23	-4.23
12288	405	0.00	-4.23	-4.23
12288	4506	-1.11	-1.11	-5.75
12288	16795	-2.58	-2.92	-2.92
12288	4508	0.00	-0.91	-5.75
12288	14751	0.00	0.00	-5.23
12288	417	0.00	-4.23	-4.23
12288	16802	-1.49	-2.92	-2.92
12288	12707	0.00	-3.86	-3.86
12288	16805	0.00	-2.92	-3.54
12288	16806	0.00	-2.92	-3.61
12288	2471	-1.49	-1.49	-4.55
12288	4521	0.00	-0.60	-4.16
12288	4522	-1.11	-1.11	-5.51
12288	4523	-1.11	-1.11	-5.51
12288	2480	-1.11	-1.29	-4.11
12288	2481	-1.11	-1.29	-4.11
12288	2483	0.00	-1.29	-4.50
12288	2484	0.00	-1.29	-4.50
12288	4534	-1.11	-1.11	-5.84
12288	4535	-1.11	-1.11	-5.84
12288	4536	-3.07	-3.07	-5.24
12288	14753	0.00	-2.72	-5.23
12288	2504	-1.11	-1.11	-5.23
12288	2505	-1.11	-1.11	-5.23
12288	2514	0.00	-0.96	-5.23
12288	12758	-1.49	-1.49	-4.61
12288	12760	0.00	-0.96	-4.61
12288	474	0.00	-3.86	-3.86
12288	475	0.00	-3.86	-3.86
12288	476	0.00	-3.86	-3.86
12288	477	0.00	-3.86	-3.86
12288	18910	-1.49	-3.99	-5.89
12288	18914	0.00	-3.99	-5.89
12288	483	0.00	-2.59	-4.78
12288	18916	-2.49	-3.99	-5.89
12288	18917	-2.49	-3.99	-5.89
12288	486	0.00	-2.59	-5.25
12288	12775	-1.11	-1.11	-4.61
12288	12777	-1.11	-1.11	-4.61
12288	12778	-1.11	-1.11	-4.61
12288	16875	-3.44	-3.44	-10.03
12288	16876	-1.49	-1.49	-10.03
12288	16877	-1.49	-1.49	-10.03
12288	4606	0.00	-0.91	-4.61
12288	4607	0.00	-0.91	-4.61
12288	14850	-1.25	-1.29	-3.09
12288	14854	0.00	-1.29	-2.57
12288	18964	0.00	-1.43	-3.69
12288	12822	-1.25	-1.25	-3.98
12288	5209	-0.69	-3.99	-3.99
12288	18968	0.00	-1.43	-3.55
12288	18969	0.00	-1.43	-3.55
12288	12826	-1.49	-1.49	-3.98
12288	12829	-1.49	-1.49	-3.98
12288	4529	0.00	-1.03	-4.99
12288	563	0.00	-4.80	-4.80
12288	566	0.00	-4.80	-4.80
12288	18909	-1.49	-3.99	-5.89
12288	577	-1.49	-3.85	-3.85
12288	579	-3.44	-3.85	-3.85
12288	580	-3.44	-3.85	-3.85
12288	4688	-0.20	-3.83	-6.57
12288	4689	-0.20	-3.83	-6.57
12288	16983	-1.44	-1.90	-4.26
12288	16985	-1.11	-1.90	-4.26
12288	16986	-1.11	-1.90	-4.26
12288	12899	-3.07	-3.07	-4.24
12288	12903	0.00	-1.29	-4.24
12288	12907	-1.11	-1.29	-4.34
12288	19056	-1.49	-1.49	-4.95
12288	12913	-1.11	-1.29	-4.34
12288	19058	-1.49	-1.49	-4.95
12288	19059	-1.49	-1.49	-4.95
12288	12916	-1.11	-3.86	-4.16
12288	19066	-1.49	-1.49	-5.33
12288	19073	0.00	-1.29	-5.10
12288	19075	-1.49	-1.49	-5.10
12288	19080	-1.49	-1.49	-5.10
12288	19084	-1.49	-1.49	-5.10
12288	19085	-1.49	-1.49	-5.10
