Name	Name	PrimPrimEnd2	PrimPrimEnd1	PrimPrimAny
11265	14850	0.00	-1.97	-5.42
11265	8196	-2.14	-3.26	-4.13
11265	14341	-5.86	-5.86	-5.86
11265	14854	-1.43	-1.97	-9.20
11265	12295	-1.19	-1.99	-4.10
11265	15562	-1.19	-1.97	-4.81
11265	11692	0.00	-1.99	-4.32
11265	12300	0.00	-1.99	-4.10
11265	13325	0.00	-1.97	-5.89
11265	13327	-1.19	-1.19	-6.39
11265	18449	-1.19	-3.62	-4.70
11265	18328	-1.21	-3.62	-6.24
11265	15891	-1.11	-3.04	-6.04
11265	3092	-1.19	-3.70	-4.06
11265	18968	-1.21	-5.07	-5.07
11265	4121	-1.43	-2.96	-3.97
11265	12826	0.00	-3.06	-4.43
11265	1052	-1.19	-3.04	-4.95
11265	12829	0.00	-3.06	-3.61
11265	13343	0.00	0.00	-6.39
11265	18467	-1.11	-3.39	-4.40
11265	2481	0.00	-3.06	-3.36
11265	15400	-1.21	-1.21	-3.34
11265	15964	0.00	-1.19	-4.08
11265	1066	0.00	-3.04	-4.61
11265	14343	-3.39	-3.39	-5.37
11265	17964	0.00	-3.06	-4.55
11265	15405	0.00	-3.06	-3.74
11265	17966	-1.19	-3.06	-3.09
11265	1072	-1.19	-3.04	-3.97
11265	1075	-1.19	-3.04	-5.21
11265	566	-1.19	-3.04	-3.93
11265	1082	0.00	-3.04	-5.99
11265	19770	-1.11	-1.11	-3.69
11265	1086	0.00	-3.04	-5.99
11265	14401	-1.21	-1.21	-4.02
11265	1090	0.00	-3.04	-5.99
11265	579	0.00	-3.04	-3.91
11265	14405	-1.19	-1.19	-4.73
11265	3654	-1.19	-1.99	-4.97
11265	7239	0.00	-3.40	-5.34
11265	3656	-1.21	-1.99	-4.97
11265	14409	0.00	-3.04	-7.17
11265	7245	-1.19	-3.40	-5.34
11265	4688	-1.19	-1.19	-4.16
11265	7251	-1.72	-1.97	-5.34
11265	16983	0.00	-1.99	-4.02
11265	18008	0.00	-1.99	-4.70
11265	7258	-1.11	-2.41	-4.42
11265	14682	0.00	-0.58	-4.59
11265	15364	-1.19	-3.72	-4.74
11265	12899	0.00	-1.99	-5.73
11265	12903	-1.21	-1.21	-5.73
11265	12907	0.00	-1.99	-5.73
11265	111	-2.78	-2.78	-4.70
11265	12913	0.00	-1.99	-5.34
11265	19059	0.00	-3.04	-3.77
11265	116	-1.19	-3.04	-5.68
11265	119	-1.19	-3.04	-5.68
11265	1300	0.00	-2.96	-5.94
11265	122	-3.42	-3.42	-5.68
11265	11626	-4.52	-4.77	-6.04
11265	19073	-1.21	-3.04	-5.13
11265	19075	0.00	-3.04	-5.13
11265	19080	-0.84	-3.04	-6.13
11265	16012	0.00	-3.04	-5.62
11265	19085	-0.35	-3.04	-6.13
11265	1169	0.00	-1.97	-4.71
11265	9362	-1.19	-1.99	-3.82
11265	1171	-1.19	-1.97	-2.63
11265	18072	-1.21	-1.97	-5.80
11265	19097	-1.21	-1.21	-6.13
11265	7835	-1.19	-1.19	-3.11
11265	7838	0.00	-1.97	-3.11
11265	12229	0.00	-3.04	-7.11
11265	7840	-1.21	-1.97	-3.03
11265	15522	0.00	-3.70	-5.79
11265	15523	-1.21	-3.70	-5.79
11265	16986	0.00	-3.06	-4.55
11265	2726	-1.21	-3.06	-4.70
11265	15529	0.00	-3.70	-5.79
11265	18964	-1.19	-5.07	-5.07
11265	13341	0.00	0.00	-6.39
11265	4784	0.00	-1.99	-2.47
11265	13489	0.00	-2.29	-4.55
11265	15538	-1.19	-3.62	-5.42
11265	13491	-1.50	-1.97	-4.55
11265	4788	0.00	-1.99	-2.27
11265	19578	-1.21	-1.97	-5.52
